# GERADO por tools/gerar_furacao.py - nao edite a mao,
# edite as tabelas do script e rode de novo.
# 8" (DN200) NBR PN16 = 12 furos: confirmado pelo Rogerio.
# O resto e referencia normativa e precisa de conferencia.
norma,dn_mm,dn_pol,furos,parafuso_norma,bitola_unc_pol,furo_mm,circulo_mm,esp_flange_mm,fonte,homologado
EN PN16,100,4,8,M16,5/8,18,180,20,EN 1092-1,NAO
NBR PN16,100,4,8,M16,5/8,18,180,20,EN 1092-1 (ABNT segue DIN/ISO 2531),NAO
EN PN25,100,4,8,M20,3/4,22,190,20,EN 1092-1,NAO
NBR PN25,100,4,8,M20,3/4,22,190,20,EN 1092-1 (ABNT segue DIN/ISO 2531),NAO
EN PN40,100,4,8,M20,3/4,22,190,20,EN 1092-1,NAO
NBR PN40,100,4,8,M20,3/4,22,190,20,EN 1092-1 (ABNT segue DIN/ISO 2531),NAO
EN PN10,125,5,8,M16,5/8,18,210,22,EN 1092-1,NAO
NBR PN10,125,5,8,M16,5/8,18,210,22,EN 1092-1 (ABNT segue DIN/ISO 2531),NAO
EN PN16,125,5,8,M16,5/8,18,210,22,EN 1092-1,NAO
NBR PN16,125,5,8,M16,5/8,18,210,22,EN 1092-1 (ABNT segue DIN/ISO 2531),NAO
EN PN25,125,5,8,M24,1,26,220,22,EN 1092-1,NAO
NBR PN25,125,5,8,M24,1,26,220,22,EN 1092-1 (ABNT segue DIN/ISO 2531),NAO
EN PN40,125,5,8,M24,1,26,220,22,EN 1092-1,NAO
NBR PN40,125,5,8,M24,1,26,220,22,EN 1092-1 (ABNT segue DIN/ISO 2531),NAO
EN PN10,150,6,8,M20,3/4,22,240,22,EN 1092-1,NAO
NBR PN10,150,6,8,M20,3/4,22,240,22,EN 1092-1 (ABNT segue DIN/ISO 2531),NAO
EN PN16,150,6,8,M20,3/4,22,240,22,EN 1092-1,NAO
NBR PN16,150,6,8,M20,3/4,22,240,22,EN 1092-1 (ABNT segue DIN/ISO 2531),NAO
EN PN25,150,6,8,M24,1,26,250,22,EN 1092-1,NAO
NBR PN25,150,6,8,M24,1,26,250,22,EN 1092-1 (ABNT segue DIN/ISO 2531),NAO
EN PN40,150,6,8,M24,1,26,250,22,EN 1092-1,NAO
NBR PN40,150,6,8,M24,1,26,250,22,EN 1092-1 (ABNT segue DIN/ISO 2531),NAO
EN PN10,200,8,8,M20,3/4,22,295,24,EN 1092-1,NAO
NBR PN10,200,8,8,M20,3/4,22,295,24,EN 1092-1 (ABNT segue DIN/ISO 2531),NAO
EN PN16,200,8,12,M20,3/4,22,295,24,EN 1092-1,NAO
NBR PN16,200,8,12,M20,3/4,22,295,24,EN 1092-1 (ABNT segue DIN/ISO 2531),NAO
EN PN25,200,8,12,M24,1,26,310,24,EN 1092-1,NAO
NBR PN25,200,8,12,M24,1,26,310,24,EN 1092-1 (ABNT segue DIN/ISO 2531),NAO
EN PN40,200,8,12,M27,1 1/8,30,320,24,EN 1092-1,NAO
NBR PN40,200,8,12,M27,1 1/8,30,320,24,EN 1092-1 (ABNT segue DIN/ISO 2531),NAO
EN PN10,250,10,12,M20,3/4,22,350,26,EN 1092-1,NAO
NBR PN10,250,10,12,M20,3/4,22,350,26,EN 1092-1 (ABNT segue DIN/ISO 2531),NAO
EN PN16,250,10,12,M24,1,26,355,26,EN 1092-1,NAO
NBR PN16,250,10,12,M24,1,26,355,26,EN 1092-1 (ABNT segue DIN/ISO 2531),NAO
EN PN25,250,10,12,M27,1 1/8,30,370,26,EN 1092-1,NAO
NBR PN25,250,10,12,M27,1 1/8,30,370,26,EN 1092-1 (ABNT segue DIN/ISO 2531),NAO
EN PN40,250,10,12,M30,1 1/4,33,385,26,EN 1092-1,NAO
NBR PN40,250,10,12,M30,1 1/4,33,385,26,EN 1092-1 (ABNT segue DIN/ISO 2531),NAO
EN PN10,300,12,12,M20,3/4,22,400,28,EN 1092-1,NAO
NBR PN10,300,12,12,M20,3/4,22,400,28,EN 1092-1 (ABNT segue DIN/ISO 2531),NAO
EN PN16,300,12,12,M24,1,26,410,28,EN 1092-1,NAO
NBR PN16,300,12,12,M24,1,26,410,28,EN 1092-1 (ABNT segue DIN/ISO 2531),NAO
EN PN25,300,12,16,M27,1 1/8,30,430,28,EN 1092-1,NAO
NBR PN25,300,12,16,M27,1 1/8,30,430,28,EN 1092-1 (ABNT segue DIN/ISO 2531),NAO
EN PN40,300,12,16,M30,1 1/4,33,450,28,EN 1092-1,NAO
NBR PN40,300,12,16,M30,1 1/4,33,450,28,EN 1092-1 (ABNT segue DIN/ISO 2531),NAO
EN PN10,350,14,16,M20,3/4,22,460,30,EN 1092-1,NAO
NBR PN10,350,14,16,M20,3/4,22,460,30,EN 1092-1 (ABNT segue DIN/ISO 2531),NAO
EN PN16,350,14,16,M24,1,26,470,30,EN 1092-1,NAO
NBR PN16,350,14,16,M24,1,26,470,30,EN 1092-1 (ABNT segue DIN/ISO 2531),NAO
EN PN25,350,14,16,M30,1 1/4,33,490,30,EN 1092-1,NAO
NBR PN25,350,14,16,M30,1 1/4,33,490,30,EN 1092-1 (ABNT segue DIN/ISO 2531),NAO
EN PN10,400,16,16,M24,1,26,515,32,EN 1092-1,NAO
NBR PN10,400,16,16,M24,1,26,515,32,EN 1092-1 (ABNT segue DIN/ISO 2531),NAO
EN PN16,400,16,16,M27,1 1/8,30,525,32,EN 1092-1,NAO
NBR PN16,400,16,16,M27,1 1/8,30,525,32,EN 1092-1 (ABNT segue DIN/ISO 2531),NAO
EN PN25,400,16,16,M33,1 1/4,36,550,32,EN 1092-1,NAO
NBR PN25,400,16,16,M33,1 1/4,36,550,32,EN 1092-1 (ABNT segue DIN/ISO 2531),NAO
EN PN10,450,18,20,M24,1,26,565,40,EN 1092-1,NAO
NBR PN10,450,18,20,M24,1,26,565,40,EN 1092-1 (ABNT segue DIN/ISO 2531),NAO
EN PN16,450,18,20,M27,1 1/8,30,585,40,EN 1092-1,NAO
NBR PN16,450,18,20,M27,1 1/8,30,585,40,EN 1092-1 (ABNT segue DIN/ISO 2531),NAO
EN PN10,500,20,20,M24,1,26,620,38,EN 1092-1,NAO
NBR PN10,500,20,20,M24,1,26,620,38,EN 1092-1 (ABNT segue DIN/ISO 2531),NAO
EN PN16,500,20,20,M30,1 1/4,33,650,38,EN 1092-1,NAO
NBR PN16,500,20,20,M30,1 1/4,33,650,38,EN 1092-1 (ABNT segue DIN/ISO 2531),NAO
EN PN10,600,24,20,M27,1 1/8,30,725,42,EN 1092-1,NAO
NBR PN10,600,24,20,M27,1 1/8,30,725,42,EN 1092-1 (ABNT segue DIN/ISO 2531),NAO
EN PN16,600,24,20,M33,1 1/4,36,770,42,EN 1092-1,NAO
NBR PN16,600,24,20,M33,1 1/4,36,770,42,EN 1092-1 (ABNT segue DIN/ISO 2531),NAO
ANSI 150,50,2,4,"5/8""",5/8,19,120.7,20,ASME B16.5,NAO
ANSI 300,50,2,8,"5/8""",5/8,19,127.0,20,ASME B16.5,NAO
ANSI 150,65,2.5,4,"5/8""",5/8,19,139.7,20,ASME B16.5,NAO
ANSI 300,65,2.5,8,"3/4""",3/4,22,149.2,20,ASME B16.5,NAO
ANSI 150,80,3,4,"5/8""",5/8,19,152.4,20,ASME B16.5,NAO
ANSI 300,80,3,8,"3/4""",3/4,22,168.3,20,ASME B16.5,NAO
ANSI 150,100,4,8,"5/8""",5/8,19,190.5,20,ASME B16.5,NAO
ANSI 300,100,4,8,"3/4""",3/4,22,200.0,20,ASME B16.5,NAO
ANSI 150,125,5,8,"3/4""",3/4,22,215.9,22,ASME B16.5,NAO
ANSI 300,125,5,8,"3/4""",3/4,22,235.0,22,ASME B16.5,NAO
ANSI 150,150,6,8,"3/4""",3/4,22,241.3,22,ASME B16.5,NAO
ANSI 300,150,6,12,"3/4""",3/4,22,269.9,22,ASME B16.5,NAO
ANSI 150,200,8,8,"3/4""",3/4,22,298.5,24,ASME B16.5,NAO
ANSI 300,200,8,12,"7/8""",7/8,25,330.2,24,ASME B16.5,NAO
ANSI 150,250,10,12,"7/8""",7/8,25,362.0,26,ASME B16.5,NAO
ANSI 300,250,10,16,"1""",1,29,387.4,26,ASME B16.5,NAO
ANSI 150,300,12,12,"7/8""",7/8,25,431.8,28,ASME B16.5,NAO
ANSI 300,300,12,16,"1 1/8""",1 1/8,32,450.8,28,ASME B16.5,NAO
ANSI 150,350,14,12,"1""",1,29,476.3,30,ASME B16.5,NAO
ANSI 300,350,14,20,"1 1/8""",1 1/8,32,514.4,30,ASME B16.5,NAO
ANSI 150,400,16,16,"1""",1,29,539.8,32,ASME B16.5,NAO
ANSI 300,400,16,20,"1 1/4""",1 1/4,35,571.5,32,ASME B16.5,NAO
ANSI 150,450,18,16,"1 1/8""",1 1/8,32,577.9,40,ASME B16.5,NAO
ANSI 300,450,18,24,"1 1/4""",1 1/4,35,628.6,40,ASME B16.5,NAO
ANSI 150,500,20,20,"1 1/8""",1 1/8,32,635.0,38,ASME B16.5,NAO
ANSI 300,500,20,24,"1 1/4""",1 1/4,35,685.8,38,ASME B16.5,NAO
ANSI 150,600,24,20,"1 1/4""",1 1/4,35,749.3,42,ASME B16.5,NAO
ANSI 300,600,24,24,"1 1/2""",1 1/2,41,812.8,42,ASME B16.5,NAO
