fabricante,familia,variante,dn_pol,dn_mm,significado,valor_mm,ficha
ARAD,MEDIDOR,,2,50,altura_total_mm,239,ARAD ING23008 WSTsb Bayonet set/24 rev3
ARAD,MEDIDOR,,2,50,altura_abaixo_mm,70,ARAD ING23008 WSTsb Bayonet set/24 rev3
ARAD,MEDIDOR,,2,50,peso_kg,12,ARAD ING23008 WSTsb Bayonet set/24 rev3
ARAD,MEDIDOR,,2.5,65,face_a_face_mm,200,ARAD ING23008 WSTsb Bayonet set/24 rev3
ARAD,MEDIDOR,,2.5,65,largura_mm,185,ARAD ING23008 WSTsb Bayonet set/24 rev3
ARAD,MEDIDOR,,2.5,65,altura_total_mm,254,ARAD ING23008 WSTsb Bayonet set/24 rev3
ARAD,MEDIDOR,,2.5,65,altura_abaixo_mm,84,ARAD ING23008 WSTsb Bayonet set/24 rev3
ARAD,MEDIDOR,,2.5,65,peso_kg,15,ARAD ING23008 WSTsb Bayonet set/24 rev3
ARAD,MEDIDOR,,3,80,face_a_face_mm,230,ARAD ING23008 WSTsb Bayonet set/24 rev3
ARAD,MEDIDOR,,3,80,largura_mm,200,ARAD ING23008 WSTsb Bayonet set/24 rev3
ARAD,MEDIDOR,,3,80,altura_total_mm,259,ARAD ING23008 WSTsb Bayonet set/24 rev3
ARAD,MEDIDOR,,3,80,altura_abaixo_mm,90,ARAD ING23008 WSTsb Bayonet set/24 rev3
ARAD,MEDIDOR,,3,80,peso_kg,15.5,ARAD ING23008 WSTsb Bayonet set/24 rev3
ARAD,MEDIDOR,,4,100,face_a_face_mm,250,ARAD ING23008 WSTsb Bayonet set/24 rev3
ARAD,MEDIDOR,,4,100,largura_mm,220,ARAD ING23008 WSTsb Bayonet set/24 rev3
ARAD,MEDIDOR,,4,100,altura_total_mm,275,ARAD ING23008 WSTsb Bayonet set/24 rev3
ARAD,MEDIDOR,,4,100,altura_abaixo_mm,106,ARAD ING23008 WSTsb Bayonet set/24 rev3
ARAD,MEDIDOR,,4,100,peso_kg,19,ARAD ING23008 WSTsb Bayonet set/24 rev3
ARAD,MEDIDOR,,6,150,face_a_face_mm,300,ARAD ING23008 WSTsb Bayonet set/24 rev3
ARAD,MEDIDOR,,6,150,largura_mm,285,ARAD ING23008 WSTsb Bayonet set/24 rev3
ARAD,MEDIDOR,,6,150,altura_total_mm,344,ARAD ING23008 WSTsb Bayonet set/24 rev3
ARAD,MEDIDOR,,6,150,altura_abaixo_mm,130,ARAD ING23008 WSTsb Bayonet set/24 rev3
ARAD,MEDIDOR,,6,150,peso_kg,35,ARAD ING23008 WSTsb Bayonet set/24 rev3
ARAD,MEDIDOR,,8,200,face_a_face_mm,350,ARAD ING23008 WSTsb Bayonet set/24 rev3
ARAD,MEDIDOR,,8,200,largura_mm,340,ARAD ING23008 WSTsb Bayonet set/24 rev3
ARAD,MEDIDOR,,8,200,altura_total_mm,377,ARAD ING23008 WSTsb Bayonet set/24 rev3
ARAD,MEDIDOR,,8,200,altura_abaixo_mm,158,ARAD ING23008 WSTsb Bayonet set/24 rev3
ARAD,MEDIDOR,,8,200,peso_kg,47,ARAD ING23008 WSTsb Bayonet set/24 rev3
ARAD,MEDIDOR,,10,250,face_a_face_mm,450,ARAD ING23008 WSTsb Bayonet set/24 rev3
ARAD,MEDIDOR,,10,250,largura_mm,405,ARAD ING23008 WSTsb Bayonet set/24 rev3
ARAD,MEDIDOR,,10,250,altura_total_mm,463,ARAD ING23008 WSTsb Bayonet set/24 rev3
ARAD,MEDIDOR,,10,250,altura_abaixo_mm,258,ARAD ING23008 WSTsb Bayonet set/24 rev3
ARAD,MEDIDOR,,10,250,peso_kg,75,ARAD ING23008 WSTsb Bayonet set/24 rev3
ARAD,MEDIDOR,,12,300,face_a_face_mm,500,ARAD ING23008 WSTsb Bayonet set/24 rev3
ARAD,MEDIDOR,,12,300,largura_mm,489,ARAD ING23008 WSTsb Bayonet set/24 rev3
ARAD,MEDIDOR,,12,300,altura_total_mm,505,ARAD ING23008 WSTsb Bayonet set/24 rev3
ARAD,MEDIDOR,,12,300,altura_abaixo_mm,330,ARAD ING23008 WSTsb Bayonet set/24 rev3
ARAD,MEDIDOR,,12,300,peso_kg,95,ARAD ING23008 WSTsb Bayonet set/24 rev3
DOROT,VALVULA_HIDRAULICA,47,2,50,face_a_face_mm,203,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,47,2,50,altura_total_mm,169,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,77,2,50,face_a_face_mm,203,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,77,2,50,altura_total_mm,169,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,87,2,50,face_a_face_mm,203,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,87,2,50,altura_total_mm,169,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,47,2.5,65,face_a_face_mm,214,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,47,2.5,65,altura_total_mm,188,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,77,2.5,65,face_a_face_mm,214,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,77,2.5,65,altura_total_mm,188,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,87,2.5,65,face_a_face_mm,214,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,87,2.5,65,altura_total_mm,188,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,47,3,80,face_a_face_mm,285,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,47,3,80,altura_total_mm,203,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,77,3,80,face_a_face_mm,285,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,77,3,80,altura_total_mm,203,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,87,3,80,face_a_face_mm,285,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,87,3,80,altura_total_mm,203,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,47,4,100,face_a_face_mm,307,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,47,4,100,altura_total_mm,232,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,77,4,100,face_a_face_mm,307,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,77,4,100,altura_total_mm,232,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,87,4,100,face_a_face_mm,307,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,87,4,100,altura_total_mm,232,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,47,6,150,face_a_face_mm,390,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,47,6,150,altura_total_mm,360,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,77,6,150,face_a_face_mm,390,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,77,6,150,altura_total_mm,360,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,87,6,150,face_a_face_mm,390,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,87,6,150,altura_total_mm,360,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,47,8,200,face_a_face_mm,462,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,47,8,200,altura_total_mm,381,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,77,8,200,face_a_face_mm,462,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,77,8,200,altura_total_mm,381,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,87,8,200,face_a_face_mm,462,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,87,8,200,altura_total_mm,381,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,47,10,250,face_a_face_mm,540,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,47,10,250,altura_total_mm,458,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,77,10,250,face_a_face_mm,540,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,77,10,250,altura_total_mm,458,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,87,10,250,face_a_face_mm,540,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,87,10,250,altura_total_mm,458,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,47,12,300,face_a_face_mm,587,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,47,12,300,altura_total_mm,495,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,77,12,300,face_a_face_mm,587,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,77,12,300,altura_total_mm,495,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,87,12,300,face_a_face_mm,587,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,87,12,300,altura_total_mm,495,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,47,14,350,face_a_face_mm,580,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,47,14,350,altura_total_mm,495,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,77,14,350,face_a_face_mm,580,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,77,14,350,altura_total_mm,495,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,87,14,350,face_a_face_mm,580,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,87,14,350,altura_total_mm,495,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,47,16,400,face_a_face_mm,755,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,47,16,400,altura_total_mm,830,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,77,16,400,face_a_face_mm,755,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,77,16,400,altura_total_mm,830,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,87,16,400,face_a_face_mm,755,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,87,16,400,altura_total_mm,830,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,47,20,500,face_a_face_mm,900,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,47,20,500,altura_total_mm,970,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,77,20,500,face_a_face_mm,900,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,77,20,500,altura_total_mm,970,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,87,20,500,face_a_face_mm,900,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,87,20,500,altura_total_mm,970,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,47,24,600,face_a_face_mm,900,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,47,24,600,altura_total_mm,970,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,77,24,600,face_a_face_mm,900,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,77,24,600,altura_total_mm,970,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,87,24,600,face_a_face_mm,900,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,87,24,600,altura_total_mm,970,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,67,2,50,face_a_face_mm,233,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,67,2,50,altura_total_mm,175,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,67,3,80,face_a_face_mm,310,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,67,3,80,altura_total_mm,237,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,67,4,100,face_a_face_mm,356,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,67,4,100,altura_total_mm,265,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,67,6,150,face_a_face_mm,436,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,67,6,150,altura_total_mm,378,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,67,8,200,face_a_face_mm,530,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,67,8,200,altura_total_mm,481,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,67,10,250,face_a_face_mm,636,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,67,10,250,altura_total_mm,546,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,67,16,400,face_a_face_mm,755,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,67,16,400,altura_total_mm,830,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,67,20,500,face_a_face_mm,900,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,67,20,500,altura_total_mm,970,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,67,24,600,face_a_face_mm,900,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,67,24,600,altura_total_mm,970,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,82,1,32,face_a_face_mm,73,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,82,1,32,altura_total_mm,110,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,91,1,32,face_a_face_mm,73,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,91,1,32,altura_total_mm,110,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,82,1.5,40,face_a_face_mm,73,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,82,1.5,40,altura_total_mm,110,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,91,1.5,40,face_a_face_mm,73,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,91,1.5,40,altura_total_mm,110,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,82,2,50,face_a_face_mm,93,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,82,2,50,altura_total_mm,131,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,91,2,50,face_a_face_mm,93,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,91,2,50,altura_total_mm,131,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,82,3,80,face_a_face_mm,177,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,82,3,80,altura_total_mm,278,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,91,3,80,face_a_face_mm,177,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,91,3,80,altura_total_mm,278,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,82,4,100,face_a_face_mm,183,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,82,4,100,altura_total_mm,293,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,91,4,100,face_a_face_mm,183,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,91,4,100,altura_total_mm,293,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,82,6,150,face_a_face_mm,230,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,82,6,150,altura_total_mm,380,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,91,6,150,face_a_face_mm,230,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,91,6,150,altura_total_mm,380,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,84,3,80,face_a_face_mm,145,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,84,3,80,altura_total_mm,239,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,94,2,50,face_a_face_mm,251,DOROT secao A - valvulas metalicas basicas
DOROT,VALVULA_HIDRAULICA,94,2,50,altura_total_mm,121,DOROT secao A - valvulas metalicas basicas
