# Folha de fabricante PLASSON, conexoes soldaveis (solvent weld) em PVC.
#
# Dez desenhos, com o codigo Plasson:
#
#   5010  luva                 5040  te 90            5050  curva 90
#   5090  bucha de reducao     5450  curva 45         5510  colar (stub) p/ 5500
#   5900  flange solta         5910  flange cega      5012  luva com rosca
#   5022  adaptador redutor    5062  adaptador macho  5212  adaptador macho
#
# As letras sao as da folha, e nem toda peca usa todas:
#
#   d    diametro nominal (externo do tubo)      D  a bitola maior, na reducao
#   G    a rosca, em polegada
#   E    diametro externo da conexao; na curva 45 e o comprimento da perna;
#        na flange solta e o furo dela; na flange cega e o diametro externo
#   E1   diametro externo do ressalto (colar) ou da flange
#   H    face a face: comprimento da luva, corrido do te, envelope da curva,
#        espessura da flange
#   I    profundidade da bolsa                   Z  folga do fundo da bolsa
#   B    espessura do ressalto ou do sextavado   C  diametro sobre o sextavado
#   Lt   comprimento da rosca                    L  comprimento da bolsa (5022)
#   Dp   circulo de furacao   S  diametro do furo   N  numero de furos
#   W    peso em grama
#
# A folha confere com a medida da casa onde as duas existem:
#
#   te soldavel 225   corrido 465 nas duas, e Z+I+E/2 = 362 = a altura medida
#   te soldavel 160   339 e 262 nos dois
#   colar 5510        E1 bate exato em 75, 90, 110, 160 e 225
#   flange solta      Dp, S e N sao os da NBR 7675 PN16 - 3" da 8 furos de 18
#                     em circulo de 160, que e o que a casa ja usava
#
# A curva 90 concorda em DN110 e DN225 e diverge de 5 a 8% em 75, 90, 125 e
# 160 - ver tools/conferir_plasson.py, que mostra o par em vez de escolher.
#
# Fonte: catalogo Plasson, desenhos 5010, 5012, 5022, 5040, 5050, 5062, 5090,
# 5212, 5450, 5510, 5900 e 5910.
familia,codigo,d_mm,d_menor_mm,rosca_pol,E_mm,E1_mm,H_mm,I_mm,Z_mm,B_mm,C_mm,Lt_mm,L_mm,Dp_mm,S_mm,furos,peso_g
BUCHA_REDUCAO,5090,40,32,,,,26,22,4,,,,,,,,17
BUCHA_REDUCAO,5090,50,25,,,,31,19,12,,,,,,,,43
BUCHA_REDUCAO,5090,50,32,,,,31,22,9,,,,,,,,50
BUCHA_REDUCAO,5090,50,40,,,,31,26,5,,,,,,,,32
BUCHA_REDUCAO,5090,63,32,,,,38,22,16,,,,,,,,76
BUCHA_REDUCAO,5090,63,40,,,,38,26,12,,,,,,,,83
BUCHA_REDUCAO,5090,63,50,,,,38,31,7,,,,,,,,60
BUCHA_REDUCAO,5090,75,40,,,,44,26,18,,,,,,,,121
BUCHA_REDUCAO,5090,75,50,,,,41,31,13,,,,,,,,95
BUCHA_REDUCAO,5090,75,63,,,,44,38,6,,,,,,,,80
BUCHA_REDUCAO,5090,90,50,,,,51,31,20,,,,,,,,195
BUCHA_REDUCAO,5090,90,63,,,,51,31,13,,,,,,,,183
BUCHA_REDUCAO,5090,90,75,,,,51,44,7,,,,,,,,137
BUCHA_REDUCAO,5090,110,63,,,,61,38,23,,,,,,,,340
BUCHA_REDUCAO,5090,110,75,,,,61,44,17,,,,,,,,315
BUCHA_REDUCAO,5090,110,90,,,,61,51,10,,,,,,,,260
BUCHA_REDUCAO,5090,125,75,,,,69,44,25,,,,,,,,450
BUCHA_REDUCAO,5090,125,90,,,,69,51,18,,,,,,,,430
BUCHA_REDUCAO,5090,125,110,,,,69,61,8,,,,,,,,265
BUCHA_REDUCAO,5090,140,90,,,,76,51,25,,,,,,,,590
BUCHA_REDUCAO,5090,140,110,,,,76,61,15,,,,,,,,447
BUCHA_REDUCAO,5090,140,125,,,,76,69,7,,,,,,,,326
BUCHA_REDUCAO,5090,160,110,,,,86,61,25,,,,,,,,775
BUCHA_REDUCAO,5090,160,125,,,,86,69,17,,,,,,,,725
BUCHA_REDUCAO,5090,160,140,,,,86,76,10,,,,,,,,560
BUCHA_REDUCAO,5090,200,160,,,,106,86,20,,,,,,,,1400
BUCHA_REDUCAO,5090,225,180,,,,106,96,10,,,,,,,,990
BUCHA_REDUCAO,5090,225,160,,,,119,86,23,,,,,,,,2450
BUCHA_REDUCAO,5090,225,200,,,,119,106,13,,,,,,,,1670
ADAPTADOR_FLANGE,5510,20,,,27,34,19,16,3,7,,,,,,,10
ADAPTADOR_FLANGE,5510,25,,,33,41,22,19,3,7,,,,,,,16
ADAPTADOR_FLANGE,5510,32,,,41,50,25,22,3,7,,,,,,,25
ADAPTADOR_FLANGE,5510,40,,,50,61,29,26,3,8,,,,,,,40
ADAPTADOR_FLANGE,5510,50,,,61,73,34,31,3,8,,,,,,,60
ADAPTADOR_FLANGE,5510,63,,,76,90,41,38,3,9,,,,,,,100
ADAPTADOR_FLANGE,5510,75,,,88,106,48,44,4,10,,,,,,,150
ADAPTADOR_FLANGE,5510,90,,,105,125,56,51,5,11,,,,,,,240
ADAPTADOR_FLANGE,5510,110,,,126,150,66,61,5,12,,,,,,,370
ADAPTADOR_FLANGE,5510,125,,,146,169,74,69,5,11,,,,,,,585
ADAPTADOR_FLANGE,5510,140,,,163,188,82,76,6,12,,,,,,,735
ADAPTADOR_FLANGE,5510,160,,,185,213,92,86,6,13,,,,,,,1000
ADAPTADOR_FLANGE,5510,200,,,228,254,113,106,7,17,,,,,,,1655
ADAPTADOR_FLANGE,5510,225,,,249,272,126,119,8,18,,,,,,,1805
FLANGE,5900,32,,,44,115,14,,,,,,,85,14,4,130
FLANGE,5900,40,,,54,140,15,,,,,,,100,18,4,205
FLANGE,5900,50,,,65,150,16,,,,,,,110,18,4,235
FLANGE,5900,63,,,80,165,18,,,,,,,125,18,4,300
FLANGE,5900,75,,,94,185,19,,,,,,,145,18,4,390
FLANGE,5900,90,,,112,200,20,,,,,,,160,18,8,465
FLANGE,5900,110,,,135,220,22,,,,,,,180,18,8,540
FLANGE,5900,125,,,151,230,25,,,,,,,191,18,8,585
FLANGE,5900,140,,,168,250,28,,,,,,,211,18,8,750
FLANGE,5900,160,,,193,289,30,,,,,,,241,22,8,1050
FLANGE,5900,200,,,238,340,32,,,,,,,297,22,8,1850
FLANGE,5900,225,,,255,340,32,,,,,,,297,22,8,2100
FLANGE_CEGA,5910,32,,,115,,14,,,,,,,85,14,4,143
FLANGE_CEGA,5910,40,,,140,,15,,,,,,,100,18,4,240
FLANGE_CEGA,5910,50,,,150,,16,,,,,,,110,18,4,286
FLANGE_CEGA,5910,63,,,165,,18,,,,,,,125,18,4,390
FLANGE_CEGA,5910,75,,,185,,19,,,,,,,145,18,4,490
FLANGE_CEGA,5910,90,,,200,,20,,,,,,,160,18,8,640
FLANGE_CEGA,5910,110,,,220,,22,,,,,,,180,18,8,786
FLANGE_CEGA,5910,125,,,230,,25,,,,,,,191,18,8,848
FLANGE_CEGA,5910,140,,,250,,28,,,,,,,211,18,8,1125
FLANGE_CEGA,5910,160,,,285,,30,,,,,,,241,22,8,1743
FLANGE_CEGA,5910,200,,,340,,32,,,,,,,297,22,8,2700
FLANGE_CEGA,5910,225,,,340,,32,,,,,,,297,22,8,2950
LUVA_ROSCA,5012,16,,3/8,,,31,14,1,12,25,13,,,,,10
LUVA_ROSCA,5012,20,,1/2,,,36,16,1,12,30,17,,,,,18
LUVA_ROSCA,5012,25,,3/4,,,40,19,1,12,40,18,,,,,27
LUVA_ROSCA,5012,32,,1,,,45,22,2,12,45,20,,,,,42
LUVA_ROSCA,5012,40,,1.1/4,,,52,26,2,16,55,22,,,,,64
LUVA_ROSCA,5012,50,,1.1/2,,,56,31,2,16,65,22,,,,,103
LUVA_ROSCA,5012,63,,2,,,68,38,2,16,80,26,,,,,167
LUVA_ROSCA,5012,75,,2.1/2,,,78,44,5,20,90,29,,,,,190
LUVA_ROSCA,5012,90,,3,,,90,51,5,24,108,33,,,,,333
LUVA_ROSCA,5012,110,,4,,,106,61,5,28,130,40,,,,,483
ADAPTADOR_ROSCA,5022,25,,1/2,,,46,,,12,30,17,19,,,,19
ADAPTADOR_ROSCA,5022,32,,3/4,,,50,,,12,36,18,22,,,,30
ADAPTADOR_ROSCA,5022,40,,1,,,63,,,16,50,20,26,,,,62
ADAPTADOR_ROSCA,5022,50,,1.1/4,,,68,,,16,65,22,31,,,,100
ADAPTADOR_ROSCA,5022,63,,1.1/4,,,75,,,16,65,22,38,,,,135
ADAPTADOR_ROSCA,5022,63,,1.1/2,,,75,,,16,65,22,38,,,,135
ADAPTADOR_ROSCA,5022,75,,2,,,83,,,20,80,26,44,,,,180
ADAPTADOR_ROSCA,5022,90,,2.1/2,,,94,,,20,95,29,51,,,,268
ADAPTADOR_ROSCA,5022,110,,3,,,106,,,20,120,33,61,,,,468
ADAPTADOR_ROSCA,5062,16,12,3/8,,,37,12,,12,22,11,14,,,,10
ADAPTADOR_ROSCA,5062,20,16,1/2,,,44,14,,12,24,16,16,,,,12
ADAPTADOR_ROSCA,5062,25,20,3/4,,,48,16,,12,30,17,19,,,,19
ADAPTADOR_ROSCA,5062,32,25,1,,,53,19,,12,36,19,22,,,,30
ADAPTADOR_ROSCA,5062,40,32,1.1/4,,,64,22,,16,46,22,26,,,,56
ADAPTADOR_ROSCA,5062,50,40,1.1/2,,,69,26,,16,50,22,31,,,,109
ADAPTADOR_ROSCA,5062,63,50,2,,,80,31,,16,65,26,38,,,,138
ADAPTADOR_ROSCA,5062,75,63,2.1/2,,,94,38,,20,80,30,44,,,,215
ADAPTADOR_ROSCA,5062,90,75,3,,,104,44,,20,95,33,51,,,,320
ADAPTADOR_ROSCA,5062,110,90,4,,,122,51,,20,120,41,61,,,,595
ADAPTADOR_ROSCA,5062,125,110,5,,,132,61,,20,130,43,69,,,,723
ADAPTADOR_ROSCA,5212,20,16,3/8,,,40,14,,12,22,11,16,,,,10
ADAPTADOR_ROSCA,5212,25,20,1/2,,,47,16,,12,30,16,19,,,,17
ADAPTADOR_ROSCA,5212,32,25,3/4,,,51,19,,12,36,17,22,,,,27
ADAPTADOR_ROSCA,5212,40,32,1,,,61,22,,16,46,19,26,,,,60
ADAPTADOR_ROSCA,5212,50,40,1.1/4,,,69,26,,16,50,22,31,,,,109
ADAPTADOR_ROSCA,5212,63,50,1.1/2,,,76,31,,16,65,22,38,,,,140
ADAPTADOR_ROSCA,5212,75,63,2,,,90,38,,20,80,26,44,,,,190
ADAPTADOR_ROSCA,5212,90,75,2.1/2,,,101,44,,20,95,30,51,,,,310
ADAPTADOR_ROSCA,5212,110,90,3,,,114,51,,20,120,33,61,,,,550
ADAPTADOR_ROSCA,5212,125,110,4,,,130,61,,20,130,41,69,,,,590
